player_id,purchases,avg_hrs
62990992,1075,11
33865373,783,14
30246419,766,9
58345543,667,8
76892907,597,28
20772968,595,13
11403772,592,19
64787956,591,9
22301321,568,7
47457723,557,16
33013552,520,7
53875128,505,7
86469479,480,7
49893565,477,23
11373749,458,19
24721232,456,77
138941587,448,10
36546868,430,14
59825286,428,14
122026623,419,24
36557643,416,12
24469287,415,9
154230723,413,23
48798067,399,37
116876958,396,14
975449,378,11
58905429,374,15
36404933,366,11
86912006,348,113
21061921,340,15
65398650,335,8
38049880,326,20
8585433,316,46
69954842,314,15
17530772,307,14
14465359,305,35
51557405,303,9
81943620,301,19
44472980,295,51
12610800,292,16
31669242,289,21
11149819,287,25
40212239,281,16
26762388,281,59
9128105,276,14
298950,259,21
10599862,257,65
87694960,255,8
88579585,254,44
87734805,251,6
86055705,250,13
50818751,246,51
16645459,244,10
69009454,243,9
92914917,238,42
46028967,237,11
55426012,235,16
55906572,232,23
10253354,232,20
70408902,228,13
33651880,228,74
148362155,227,36
47384202,226,14
78309377,225,38
107452765,221,22
154230933,221,10
61676491,218,26
155919035,216,8
77214425,215,27
11794760,209,18
2259650,203,19
49462664,202,19
78341587,197,9
30440303,196,22
11978743,196,13
60859695,195,9
49228258,193,18
71510748,192,23
9823354,190,21
73835640,189,24
24632218,188,19
180901075,187,11
13565651,186,14
27279261,185,37
135400225,185,17
116564064,180,10
22371742,180,5
44314169,178,13
59662830,177,54
56038151,177,10
30425578,177,21
99077905,177,64
53091150,175,9
37422528,174,124
155673786,173,56
43913966,172,31
101690993,172,23
43684632,172,78
159800136,170,16
57603447,170,24
134322141,170,17
83770731,169,6
118541865,169,5
11161178,169,35
77980915,169,30
51822361,168,33
99264709,167,22
43360645,165,48
187463594,165,42
45617627,164,12
43955374,163,53
88035166,162,27
67579257,162,18
166863117,161,8
13190476,159,28
81439192,159,17
72842694,159,6
34177747,159,63
55367062,158,8
60611062,158,32
42657809,158,59
60608576,157,35
39622853,157,16
34919318,157,22
77194239,157,9
157636450,157,444
35701646,154,36
28472068,154,5
1936551,152,10
118852041,152,24
47384303,152,20
64973908,152,45
92593907,151,59
105503045,150,11
81160212,150,12
124725852,150,13
62878249,150,30
17995238,149,52
561758,148,13
71527252,145,23
53898495,145,44
17567828,144,36
16084897,144,47
58931437,143,8
48028873,143,11
39037163,142,53
65754991,142,13
80128229,140,33
33282871,139,20
90272527,139,26
59925638,138,57
71777065,137,33
32126281,136,82
102825821,136,15
117531196,135,9
48984158,133,49
81170946,133,11
156565178,132,8
54310644,132,38
65958466,132,20
111754806,131,31
132300630,131,25
143877335,130,17
46637811,130,58
26729643,130,43
73726855,130,62
38317154,129,85
82263745,129,73
113752996,129,49
88525821,129,24
80779496,129,15
83849502,129,23
65117175,127,7
197904909,127,19
44545959,127,57
48525807,126,56
189734107,126,77
86041729,125,24
33622085,124,36
14126086,124,92
54637394,124,39
216088282,124,9
80189887,123,30
129117376,123,14
112626210,122,16
172518437,122,7
6717871,122,7
127628725,121,22
53097340,121,23
84455820,120,10
66650717,119,64
16154372,119,21
124059151,118,23
7907686,118,12
10450544,118,20
2753525,118,22
152959594,118,19
248444377,117,40
204795948,117,13
93275329,117,17
115632831,117,36
34901647,117,23
114727578,116,21
42061089,115,13
81585721,114,26
243664576,114,6
76451157,114,11
80494893,113,23
42005897,112,49
124437057,112,11
127272741,111,44
27403206,110,9
19696244,110,33
101878879,110,43
219466905,110,9
136135322,110,11
168163793,110,41
30912860,109,7
31187179,109,22
246439849,109,32
91690667,108,45
166669789,108,29
144071257,108,39
63441290,108,22
176771895,107,587
57770056,107,20
11731710,105,70
127335438,105,29
86481908,105,32
66255019,105,24
14544587,105,143
92393218,104,51
60296891,104,19
126191291,104,31
94936385,104,56
12144171,104,22
73564778,103,28
82352462,103,35
61632730,103,57
131348564,102,28
72978546,102,44
162288536,102,48
150033540,102,10
49050405,101,24
51085779,101,39
63157803,101,73
41559627,101,2
11940338,100,13
39361297,100,3
19085114,99,22
57103808,99,20
105877396,99,20
96588736,99,10
25096601,98,9
3449240,98,36
198735293,98,23
156675178,98,4
82287546,98,25
65145468,98,26
67729331,97,39
127072755,97,26
147602462,97,10
193156880,96,48
79073449,96,14
8259307,96,2
75155353,96,32
30061970,95,8
32467994,95,97
100311267,95,4
67694595,95,119
54826284,95,46
119619506,95,25
193103684,95,20
130312302,94,10
14962163,94,39
15196746,94,26
189858084,93,3
29239329,93,10
61506388,93,7
55975168,93,58
132748085,93,15
62705916,92,70
30519870,92,44
100894366,92,38
171067153,92,33
82046939,91,12
42771635,91,29
96400571,91,41
101695880,91,40
115996656,91,37
218317467,91,24
50744279,90,13
87341384,90,26
182399789,89,28
94269421,89,16
33706322,89,3
61189155,89,66
92612763,88,69
29753085,88,68
85366890,88,23
26465134,88,44
103371488,88,53
105384518,87,30
101596530,87,68
44866715,86,7
64369759,85,10
65229865,85,24
63615483,85,126
54761333,85,32
64023574,85,29
85497862,85,18
11970504,85,16
207830797,83,69
23225650,83,16
80550861,83,28
66596291,83,49
86540,82,17
133422169,82,27
156818121,82,27
10218563,82,51
54293428,82,46
73518199,82,32
7440594,81,29
71390526,81,38
103638409,81,22
185075395,81,1
98848653,81,25
105243827,81,33
191979928,80,37
182229935,80,65
11952990,80,30
73495968,80,10
42928788,80,12
23717586,80,52
46301758,80,22
101687527,80,29
150751526,79,18
106147454,79,13
165755355,79,17
103731895,79,27
209917929,79,10
38465050,78,8
199693353,78,7
71888942,78,49
152419713,78,24
74772820,77,67
117345810,77,35
35039277,77,11
159371621,77,7
1950243,77,11
68316900,77,16
131940023,77,56
127311699,77,32
20200395,76,20
45974860,76,29
122094388,76,46
119239620,75,24
122798021,75,48
91859894,75,36
200673341,74,11
132196353,74,69
118971362,74,71
143643478,73,19
69856757,72,56
89523414,72,9
37723786,72,104
94110492,72,21
26808868,72,9
95699780,72,16
5387470,72,69
116515230,71,39
50700418,71,14
66052983,71,26
46055854,71,47
170485590,71,22
45411694,70,46
83090686,70,65
108264287,70,18
80511960,70,58
81591317,69,32
148510973,69,99
124556386,69,69
108007732,69,40
161816812,69,48
161991221,68,12
174923254,68,15
192170147,68,43
205285563,68,33
107377573,68,47
115037563,68,13
101602586,68,49
123101539,68,36
97298878,67,9
105782521,67,22
120523185,67,6
75368808,67,84
163432200,67,45
127555883,67,16
106796307,67,45
50797633,67,78
215208719,67,20
152078939,66,16
113546110,66,41
61070572,66,23
92663477,66,7
198081354,66,35
64319625,66,23
74855005,65,53
186483761,65,35
87071236,64,74
66950079,64,43
110906645,64,46
114617787,64,297
17495098,64,40
55761025,64,44
153956921,64,17
165216496,63,21
76420334,63,20
131785763,63,23
72989129,63,34
170460109,63,24
58057627,63,37
127344335,63,30
125017535,63,110
114030647,63,50
36502549,62,68
165101762,62,41
185079540,62,16
23492094,62,119
103260848,62,93
11813637,62,76
104870123,62,43
49342564,62,44
26430231,61,28
77830706,61,32
164511211,61,25
2083767,61,15
154730370,61,41
43160799,61,32
134641355,61,55
85458882,61,104
59005471,61,40
203800963,61,66
111551727,61,85
101339059,61,150
211454678,60,34
8776918,60,113
72996988,60,22
127220350,60,17
44482198,59,32
65342306,59,20
207248568,59,202
48149238,59,67
107913460,59,31
