game,num_purch,avg_hr
"F.E.A.R. 2 Project Origin",114,10
"Happy Wars",114,3
"The Lord of the Rings Online",114,21
"Dungeon Defenders II",114,11
"Medal of Honor(TM) Multiplayer",113,6
"Medal of Honor(TM) Single Player",113,5
"Red Faction Armageddon",113,6
"Serious Sam HD The Second Encounter",113,9
"Company of Heroes 2",112,22
"Middle-earth Shadow of Mordor",112,24
"Medieval II Total War",112,43
"Star Conflict",112,12
"The Stanley Parable",110,3
"Mass Effect 2",110,45
"Space Engineers",109,44
"Surgeon Simulator",109,4
"Dino D-Day",108,3
"South Park The Stick of Truth",107,17
Enclave,107,3
"Age of Empires III Complete Collection",106,17
"Rome Total War",106,39
"Stronghold Kingdoms",105,100
"Sleeping Dogs",104,23
Awesomenauts,104,22
"Darksiders II",104,19
"Tribes Ascend",104,5
"Football Manager 2013",104,311
"7 Days to Die",103,42
Trine,103,6
"Metro Last Light",102,13
sZone-Online,102,1
"Crusader Kings II",102,119
"The Elder Scrolls IV Oblivion ",101,29
"Warhammer 40,000 Dawn of War II  Retribution",101,72
"Mark of the Ninja",100,6
"STAR WARS Knights of the Old Republic II The Sith Lords",100,21
Thief,99,9
"Star Trek Online",99,70
"Kerbal Space Program",98,59
"Scribblenauts Unlimited",98,8
"Double Action Boogaloo",98,5
"Magic Duels",98,12
"Deus Ex Human Revolution - Director's Cut",97,14
"The Lord of the Rings War in the North",97,17
"War of the Roses",97,17
"Tropico 3 - Steam Special Edition",97,14
Monaco,96,3
"Mass Effect",96,38
Strife,96,9
"Warhammer 40,000 Dawn of War II - Chaos Rising",96,29
Outlast,95,5
Torchlight,95,23
"Dead Island Riptide",94,12
Besiege,94,14
Banished,93,30
"Far Cry 2",93,6
Transformice,93,50
"L.A. Noire",92,16
"Sanctum 2",92,6
"Tropico 4",92,25
"Papers, Please",92,4
"RACE 07",92,9
Brick-Force,92,1
"Orcs Must Die!",91,9
Audiosurf,91,8
Dizzel,91,2
Brawlhalla,91,7
"Ragnarok Online 2",90,53
"Call of Duty Ghosts",90,9
