game,num_purch,avg_hr
"Alpha Prime",27,1
"Dead Rising 2",27,6
"Primal Carnage",27,24
"Stealth Bastard Deluxe",27,2
"Anarchy Arcade",27,1
"TOME Immortal Arena",27,12
"Car Mechanic Simulator 2014",27,3
"DLC Quest",26,3
"Oil Rush",26,2
"Devil May Cry 4",26,6
"Zeno Clash",26,2
EDGE,26,1
"Narcissu 1st & 2nd",26,2
Verdun,26,10
"Rusty Hearts",26,35
"Stronghold 2",26,8
"Stronghold Legends",26,4
"The Evil Within",26,9
"The Guild II - Pirates of the European Seas",26,1
"Serious Sam The Random Encounter",26,0
"Sniper Elite Nazi Zombie Army",26,5
"GameMaker Studio",26,42
8BitBoy,26,3
"The Ultimate DOOM",26,1
"SpellForce 2 - Faith in Destiny",26,36
"Earth 2150 The Moon Project",26,8
"Commandos Beyond the Call of Duty",26,0
"Sins of a Dark Age",26,3
"Commandos Behind Enemy Lines",26,3
"Spore Creepy & Cute Parts Pack",26,8
"UFO Afterlight",26,1
Evoland,25,3
"Sir, You Are Being Hunted",25,2
"Intrusion 2",25,2
"Penny Arcade's On the Rain-Slick Precipice of Darkness 3",25,1
Polarity,25,6
"Hotline Miami 2 Wrong Number",25,10
"Project CARS",25,14
"Ticket to Ride",25,8
"Puzzle Agent 2",25,3
"Trials Evolution Gold Edition",25,16
"Vertiginous Golf",25,0
"Greed Corp",25,4
"Pox Nora",25,5
"DOOM 3 Resurrection of Evil",25,3
"Aliens Colonial Marines",25,10
"Serious Sam Double D XXL",25,0
"Solar 2",25,5
"Leviathan Warships",25,3
"FINAL FANTASY XIV A Realm Reborn",25,301
"Back to Dinosaur Island ",25,2
"Racer 8",25,2
"Joe Danger 2 The Movie",25,1
"Final DOOM",25,1
"Half Minute Hero Super Mega Neo Climax Ultimate Boy",25,4
"Metro Conflict",25,4
Viridi,25,3
"Canyon Capers",25,3
LUFTRAUSERS,24,2
"Tom Clancy's Splinter Cell Chaos Theory",24,1
"Command and Conquer 3 Tiberium Wars",24,9
"Mini Ninjas",24,5
"resident evil 4 / biohazard 4",24,7
"Hacker Evolution",24,2
RUSH,24,3
Botanicula,24,3
"Steel Storm Burning Retribution",24,1
"Hector Ep 1",24,2
"Always Sometimes Monsters",24,5
Closure,24,3
"Command and Conquer 4 Tiberian Twilight",24,12
"Men of War",24,24
"Omerta - City of Gangsters",24,17
"EverQuest Free-to-Play",24,1
"Quantum Rush Online",24,1
Xam,24,0
"Wasteland 2 Director's Cut",24,1
"Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre",24,5
"Wasteland 1 - The Original Classic",24,3
"Wasteland 2",24,22
"Total War Battles KINGDOM",24,4
"The Guild II Renaissance",24,7
"Nuclear Dawn",24,8
"AI War Fleet Command",24,4
"Hearts of Iron III",24,57
"Murder Miners",24,2
"METAL SLUG DEFENSE",24,3
"Fable Anniversary",24,10
"Unreal Tournament Game of the Year Edition",24,26
"Recettear An Item Shop's Tale",23,13
"Turbo Dismount",23,6
"Out There Somewhere",23,3
"The Incredible Adventures of Van Helsing II",23,11
"Organ Trail Director's Cut",23,2
"The Testament of Sherlock Holmes",23,8
"Wallace & Gromit Ep 1 Fright of the Bumblebees",23,2
"Dungeon Siege 2",23,4
"Dungeon Siege",23,8
"Men of War Red Tide",23,6
"Fiesta Online NA",23,0
"The Banner Saga Factions",23,0
"Sonic Adventure DX",23,1
"Fable III",23,34
"Oddworld Abe's Exoddus",23,3
"NBA 2K15",23,136
Waveform,23,3
"Full Mojo Rampage",23,8
"Toki Tori 2+",23,2
"Monday Night Combat",23,7
"Renegade Ops",23,4
"Grim Fandango Remastered",23,6
"HIS (Heroes In the Sky)",23,1
HuniePop,22,21
BEEP,22,1
"Star Wars The Clone Wars Republic Heroes",22,1
"Woodle Tree Adventures",22,2
"X3 Reunion",22,25
"Samorost 2",22,0
"Worms Clan Wars",22,4
Eets,22,3
"Hector Ep 2",22,5
"Knights of Pen and Paper +1",22,6
"PixelJunk Eden",22,1
Strider,22,2
"Divinity Dragon Commander",22,8
"The Elder Scrolls Online Tamriel Unlimited",22,40
"Eternal Senia",22,2
"World of Soccer online",22,0
DogFighter,22,1
"Mount Your Friends",22,5
"All Is Dust",22,1
"Battle Islands",22,35
"Alien Breed 3 Descent",22,9
"Arma Tactics",22,2
"Wallace & Gromit Ep 2 The Last Resort",22,15
"Wallace & Gromit Ep 3 Muzzled!",22,13
"Wallace & Gromit Ep 4 The Bogey Man",22,4
Vessel,21,1
"Commando Jack",21,2
SolForge,21,3
"Blocks That Matter",21,2
"Driver San Francisco",21,6
"Endless Sky",21,2
"Piercing Blow",21,2
"Marvel Puzzle Quest",21,211
"Arctic Combat",21,6
"Dungeon Party",21,0
"Forsaken World ",21,20
"Puzzle Pirates",21,21
"Dishonored (RU)",21,18
"Among Ripples",21,0
"Prince of Persia The Sands of Time",21,3
"Styx Master of Shadows",21,4
"Assassins Creed Unity",21,20
"Long Live The Queen",21,3
"Dungeon of the Endless",21,10
"Grimoire Manastorm",21,2
"Space Channel 5 Part 2",21,1
Particula,21,2
"Tom Clancy's Rainbow Six Vegas 2",21,8
"King Arthur's Gold",21,3
"Ryse Son of Rome",21,10
"Superfrog HD",21,1
"Anomaly 2",21,2
"The Crew",20,55
"Broken Age",20,10
"Fallen Enchantress Legendary Heroes",20,17
"Gothic 3",20,20
"Peggle Deluxe",20,5
"Hydrophobia Prophecy",20,9
Home,20,2
"Soccer Manager 2016",20,2
"Arma 2 Free",20,1
"Castlevania Lords of Shadow - Ultimate Edition",20,6
"King Arthur - The Role-playing Wargame",20,4
"F1 2012",20,59
"Broken Sword 2 - the Smoking Mirror Remastered",20,6
"Broken Sword 1 - Shadow of the Templars Director's Cut",20,5
Nexuiz,20,1
"Sniper Elite Nazi Zombie Army 2",20,4
"FlatOut 2",20,2
"Eufloria HD",20,10
"Squishy the Suicidal Pig",20,2
"Shadow Warrior Classic Redux",20,1
Magicite,20,14
"Enemy Mind",20,3
"Steel Ocean",20,4
"Dragon's Prophet (EU)",20,30
"The Four Kings Casino and Slots",20,3
"Magic 2015",20,25
"PAYDAY The Web Series - Episode 1",20,0
"Super Killer Hornet Resurrection",20,3
"Get Off My Lawn!",20,5
"Tales from the Borderlands",20,12
"iBomber Defense Pacific",20,4
"Tesla Effect",20,36
"Magic The Gathering  Duels of the Planeswalkers 2012",20,29
"Overcast - Walden and the Werewolf",20,4
"Galaxy on Fire 2 Full HD",20,7
"Battle Nations",20,131
"Anno Online",20,93
"Tropico 3 Absolute Power",20,36
Grimm,20,3
"Anna - Extended Edition",20,4
"Running Shadow",20,0
"Crypt of the NecroDancer",19,22
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome",19,1
"English Country Tune",19,0
"Saints Row Gat out of Hell",19,9
Wizorb,19,1
"Adventures of Shuggy",19,2
"X3 Albion Prelude",19,40
"Ghostbusters The Video Game",19,5
"Talisman Prologue",19,2
"Penumbra Black Plague",19,5
"Insanely Twisted Shadow Planet",19,4
"Penumbra Requiem",19,1
"The Basement Collection",19,3
Uncrowded,19,5
"Halo Spartan Assault",19,2
"MechWarrior Online",19,6
"Battlefield 2",19,14
"DiRT Rally",19,11
"Men of War Assault Squad 2",19,69
"Lost Saga North America",19,6
"District 187",19,6
"LEGO The Hobbit",19,30
"RollerCoaster Tycoon Deluxe",19,13
"Lords Of The Fallen",19,15
"Magic Barrage - Bitferno",19,7
Worms,19,1
"Talisman Digital Edition",19,16
POSTAL,19,2
Eufloria,19,25
"ACE COMBAT ASSAULT HORIZON Enhanced Edition",19,4
"Victoria II",19,41
"Bionic Commando Rearmed",19,0
"Goodbye Deponia",19,4
StarForge,19,6
"Binary Domain",19,5
"Sniper Elite",19,27
Mountain,19,26
"Tabletop Simulator",19,11
"Crazy Taxi",19,1
"Return to Castle Wolfenstein",19,28
"SEGA Bass Fishing",19,0
"The LEGO Movie - Videogame",19,33
SkyDrift,19,2
"Battlestations Pacific",19,15
"Assetto Corsa",19,16
"Unreal Tournament 2004",19,4
"Order of War",19,5
BeamNG.drive,19,7
"Waking Mars",19,4
"Soccer Manager 2015",19,5
"Starseed Pilgrim",18,1
Betrayer,18,2
"Cook, Serve, Delicious!",18,10
Daikatana,18,0
"Mechanic Escape",18,2
"Mercenary Kings",18,8
Syberia,18,3
"GEARCRACK Arena",18,3
"The Ball",18,7
"The Book of Unwritten Tales",18,10
"Prince of Persia",18,1
"The Bard's Tale",18,3
"Transformers Fall of Cybertron",18,13
"Chaos Heroes Online",18,0
"Atlantica Online",18,8
"Magic The Gathering  Tactics",18,7
"Moon Breakers",18,1
3DMark,18,13
Deepworld,18,1
"Prince of Persia The Forgotten Sands",18,14
"Trainz Simulator 12",18,2
"Magic The Gathering - Duels of the Planeswalkers 2013",18,16
"Heroes of Might & Magic III - HD Edition",18,13
"City of Steam Arkadia",18,1
"Race The WTCC Game",18,3
"King's Bounty The Legend",18,12
"God Mode",18,3
"PixelJunk Monsters Ultimate",18,3
"Magicka 2",18,4
HIT,18,0
"Shadows on the Vatican - Act I Greed",18,2
"NiGHTS into Dreams...",18,1
"Q.U.B.E Director's Cut",18,4
"Sleeping Dogs Definitive Edition",18,13
"Wolfenstein The Old Blood ",18,7
"The Secret World",18,22
"Hell Yeah!",18,3
"Passing Pineview Forest",18,0
"NBA 2K14",18,93
"Gorky 17",18,7
"Earth 2150 Lost Souls",18,5
Anachronox,17,0
"Door Kickers",17,5
"Gothic II Gold Edition",17,1
"Need for Speed Undercover",17,10
"Syberia 2",17,1
"Indie Game The Movie",17,3
"My Lands",17,4
"Quantum Conundrum",17,5
"BIT.TRIP BEAT",17,2
"Defense Grid 2",17,9
Aion,17,10
Echoes+,17,1
"Fiesta Online",17,6
"Uncharted Waters Online",17,181
Fuse,17,2
Dethroned!,17,0
"Takedown Red Sabre",17,3
"Hacker Evolution - Untold",17,2
"Revolution Ace",17,2
"The Hat Man Shadow Ward",17,2
"Nation Red",17,7
"Hospital Tycoon",17,2
"Chaos on Deponia",17,8
"Rise of Flight United",17,1
"Dead Rising 3",17,12
"Warhammer End Times - Vermintide",17,18
CroNix,17,1
Dwarfs!?,17,1
"PAC-MAN Championship Edition DX+",17,3
"Sine Mora",17,2
"Victory Command",17,0
"Shattered Horizon",17,5
"Scania Truck Driving Simulator",17,2
"Baldur's Gate II Enhanced Edition",17,475
Jazzpunk,16,2
"They Bleed Pixels",16,2
"Lego Harry Potter",16,9
"Zen Bound 2",16,1
"Plain Sight",16,3
"Fork Parker's Holiday Profit Hike",16,0
"Memoir '44 Online",16,8
"Gotham City Impostors",16,6
"Galactic Civilizations III",16,48
"RADical ROACH Deluxe Edition",16,3
"King Arthur II - The Role-playing Wargame",16,6
"Mars War Logs",16,4
"Five Nights at Freddy's 4",16,1
"Tom Clancy's Rainbow Six Vegas",16,1
"NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution",16,15
Legendary,16,1
"Heroes of Might & Magic V",16,10
"Sigils of Elohim",16,127
"Bunch Of Heroes",16,1
"Gemini Rue",16,3
"King's Bounty Armored Princess",16,15
"Aliens versus Predator Classic 2000",16,2
"Post Apocalyptic Mayhem",16,4
"Prince of Persia The Two Thrones",16,8
Devilian,16,8
"Galcon 2",16,1
"On the Rain-Slick Precipice of Darkness, Episode One",16,11
"On the Rain-Slick Precipice of Darkness, Episode Two",16,41
"Tap Tap Infinity",16,4
"Savage Lands",16,4
"Craft The World",16,53
"SpellForce 2 Gold Edition",16,3
"Call of Juarez The Cartel",16,7
"Lambda Wars Beta",16,7
"Pool Nation",16,4
"Quake III Arena",16,3
Quake,16,3
"Quake III Team Arena",16,1
"Medieval Engineers",16,3
"Stronghold Crusader 2",16,31
"Destination Sol",16,2
Godus,16,8
"CastleMiner Z",16,5
"Unreal Gold",16,2
"Unreal II The Awakening",16,1
"Weird Worlds Return to Infinite Space",16,1
"Tom Clancy's Splinter Cell",16,1
"Tom Clancy's Splinter Cell Double Agent",16,4
"Memories of a Vagabond",16,3
"Hyper Fighters",16,0
"Bridge Project",16,1
"Blades of Time",16,8
"Slender The Arrival",16,3
Symphony,15,2
"The Legend of Korra",15,5
"Axis Game Factory's AGFPRO 3.0",15,2
"Geometry Dash",15,22
Deadpool,15,10
"Lugaru HD ",15,2
"Crazy Machines 2",15,4
Windosill,15,1
"The Cave",15,9
"Offspring Fling!",15,3
"A Game of Thrones - Genesis",15,6
"Sang-Froid - Tales of Werewolves",15,4
"Shovel Knight",15,12
"Rayman Legends",15,21
Demigod,15,13
"Abyss Odyssey",15,4
"Hero Academy",15,40
"King's Bounty Crossworlds",15,62
"Before the Echo",15,2
"Prince of Persia Warrior Within",15,8
"Frozen Hearth",15,2
"Legend of Grimrock 2",15,6
"Just Cause 3",15,15
"Kingdom Rush",15,65
"The 39 Steps",15,3
"Evil Genius",15,17
"Sakura Spirit",15,3
"Ionball 2  Ionstorm",15,3
"Edna & Harvey Harvey's New Eyes",15,3
"Oddworld Stranger's Wrath HD",15,2
"Blood Bowl Chaos Edition",15,94
"The Settlers Online",15,1
"Hostile Waters Antaeus Rising",15,3
"Smashmuck Champions",15,2
"Quake Mission Pack 1 Scourge of Armagon",15,0
"Quake Mission Pack 2 Dissolution of Eternity",15,0
"Orbital Gear",15,1
"F1 2013",15,47
"A New Beginning - Final Cut",15,7
"Gang Beasts",15,13
"The Baconing",15,5
"Construction-Simulator 2015",15,26
"Saints Row IV Inauguration Station",15,1
"Color Symphony",15,0
"Disney Infinity 3.0 Play Without Limits",15,1
"Hacker Evolution Duality",15,1
"Star Ruler",15,52
"Starpoint Gemini 2",14,7
"Sonic Adventure 2 ",14,6
"Grow Home",14,8
404Sight,14,1
"Camera Obscura",14,5
"Command and Conquer 3 Kane's Wrath",14,11
Gothic,14,1
"I am Bread",14,5
"LEGO Harry Potter Years 5-7",14,24
"One Way Heroics",14,4
Outland,14,3
"Cortex Command",14,1
"X2 The Threat",14,28
"Pixel Puzzles Japan",14,5
"TrackMania Stadium",14,24
"The Tiny Bang Story",14,12
Snapshot,14,0
"Solstice Arena",14,2
"Need for Speed SHIFT",14,5
"Sins of a Solar Empire Trinity",14,16
Smashball,14,2
"Let the Cat In",14,0
"Of Orcs And Men",14,7
"Earth 2160",14,6
"Town of Salem",14,14
"Legacy of Kain Soul Reaver",14,1
"Legacy of Kain Soul Reaver 2",14,0
FlatOut,14,1
"Uncharted Waters Online Gran Atlas",14,63
"Neverwinter Nights 2 Platinum",14,43
"Cobi Treasure Deluxe",14,1
"Blade Symphony",14,11
"The Dig",14,3
"Painkiller Redemption",14,1
"Cities in Motion",14,24
"IL-2 Sturmovik Cliffs of Dover",14,21
"Divinity Dragon Commander Beta",14,4
Gnomoria,14,26
"Bionic Dues",14,2
"Penguins Arena Sedna's World",14,5
"Rush Bros",14,1
"Call of Juarez Bound in Blood",14,6
"KickBeat Steam Edition",14,9
"Vertical Drop Heroes HD",14,2
CastleStorm,14,6
"Dream Of Mirror Online",14,1
Xenonauts,14,15
"Carrier Command Gaea Mission",14,2
"FINAL FANTASY XIII-2",14,12
"Dead Rising 2 Off the Record",14,13
"Quake II",14,3
"Grim Dawn",14,17
Subnautica,14,10
"Resident Evil / biohazard HD REMASTER",14,8
"D.I.P.R.I.P. Warm Up",14,4
"Genesis Online",14,1
Spirits,14,3
"Transformers War for Cybertron",14,9
"Gun Metal",14,4
"NBA 2K9",14,33
"Uriel's Chasm",14,2
"Clown House (Palyao Evi)",14,0
"Section 8 Prejudice",14,5
"SpellForce Platinum Edition",14,11
Serena,14,1
"Super Sanctum TD",14,5
Gunscape,14,1
"Geometry Wars Retro Evolved",14,2
"Strike Suit Infinity",14,4
"Bridge Constructor",14,4
"Crysis 2",14,22
"Lethal League",14,2
"Strike Vector",13,1
140,13,1
"Galcon Fusion",13,2
GameGuru,13,5
TypeRider,13,3
"Cannons Lasers Rockets",13,1
"Portal 2 - The Final Hours",13,1
"Midnight Club II",13,7
"The Longest Journey",13,4
"The Misadventures of P.B. Winterbottom",13,1
AirBuccaneers,13,1
DETOUR,13,1
"The Whispered World Special Edition",13,2
"EasyAntiCheat eSports",13,9
"the static speaks my name",13,0
"Curse of Mermos",13,1
"Heroes of Scene",13,6
"SiN Episodes Emergence",13,2
SiN,13,0
"Anno 1404",13,14
"Magic The Gathering - Duels of the Planeswalkers",13,21
"Blood of Old",13,4
"Shift 2 Unleashed",13,14
"Guild Wars",13,148
"I Have No Mouth, and I Must Scream",13,1
Morphopolis,13,2
Minimum,13,6
Robotex,13,5
"Retro City Rampage DX",13,2
"Lead and Gold - Gangs of the Wild West",13,4
SOMA,13,11
"Warmachine Tactics",13,9
"DUNGEONS - Steam Special Edition",13,10
"Bloody Trapland",13,1
"Dragomon Hunter",13,2
"Painkiller Black Edition",13,6
"Car Mechanic Simulator 2015",13,9
"Planetary Annihilation TITANS",13,10
"Life is Feudal Your Own",13,28
"Sid Meier's Starships",13,12
"You Need A Budget 4 (YNAB)",13,14
"Wanderlust Rebirth",13,4
"Lego Star Wars Saga",13,5
"Ultimate Tic-Tac-Toe",13,2
"ENSLAVED Odyssey to the West Premium Edition",13,3
"Rise of the Triad",13,2
"Robot Roller-Derby Disco Dodgeball",13,4
"NBA 2K16",13,83
"Disciples III Renaissance",13,92
"Lichdom Battlemage",13,4
"Humanity Asset",13,3
"Medal of Honor Airborne",13,26
"The Typing of The Dead Overkill",13,3
"Call of Duty 2",13,5
Rocksmith,13,13
"Wild Warfare",13,3
"Port Royale 3",13,16
"Savant - Ascent",13,0
Famaze,13,0
"Dragon's Prophet",13,9
Krater,13,6
"Viscera Cleanup Detail",13,6
"Spartans Vs Zombies Defense",13,1
StarDrive,13,18
Battlepaths,13,5
FaceRig,13,2
Epigenesis,13,2
"Pool Nation FX",13,1
"Might & Magic Heroes Online",13,1
"TowerFall Ascension",13,11
"Rustbucket Rumble",13,0
"Commander Keen Complete Pack",13,2
"Why So Evil",13,12
"Sparkle 2 Evo",13,2
"Poly Bridge",12,5
"Sunless Sea",12,8
Blockland,12,4
"Jack Lumber",12,6
"Killer is Dead",12,2
"The Cat Lady",12,2
"Painkiller Overdose",12,0
"Faerie Solitaire",12,8
Singularity,12,10
"Sinister City",12,3
TRAUMA,12,1
Damned,12,2
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald A Whirlwind Heist",12,0
"Nikopol Secrets of the Immortals",12,1
"Toy Soldiers",12,16
"Velvet Assassin",12,2
"The Polynomial",12,1
Startopia,12,5
"BloodRealm Battlegrounds",12,2
"Jagged Alliance - Back in Action",12,25
CaesarIA,12,1
"Five Nights at Freddy's 3",12,2
"The Guild Gold Edition",12,2
"Blood Omen 2 Legacy of Kain",12,1
"12 Labours of Hercules II The Cretan Bull",12,4
Saviors,12,3
"The Fish Fillets 2",12,0
"Agarest Generations of War",12,16
"Angry Video Game Nerd Adventures",12,2
"RACE Caterham Expansion",12,0
"King Arthur Collection",12,3
"Blackguards 2",12,28
"Colin McRae Rally",12,3
"Age of Conan Unchained - EU version",12,21
"Metal Reaper Online",12,3
"Speedball 2 HD",12,4
"Battle Battalions",12,0
"Pro Evolution Soccer 2015",12,208
"Planet Explorers",12,16
"Interstellar Marines",12,4
"HeXen II",12,1
"Oddworld Munch's Oddysee",12,1
OlliOlli,12,6
"Sweet Lily Dreams",12,21
"Tales from Space Mutant Blobs Attack",12,1
"Urban Trial Freestyle",12,2
"Rayman Origins",12,12
"Bound By Flame",12,12
Nux,12,4
Tidalis,12,1
"Swords and Soldiers HD",12,3
"Cities XL 2012",12,43
"Estranged Act I",12,3
"Sacred Gold",12,2
Pressured,12,2
"RollerCoaster Tycoon 2 Triple Thrill Pack",12,10
"Front Mission Evolved",12,8
A.R.E.S.,12,3
"Tom Clancy's Ghost Recon Future Soldier",12,19
"Grey Goo",12,11
"Depression Quest",12,2
"War for the Overworld",12,10
"Platypus II",12,5
Chip,12,2
"Might & Magic Clash of Heroes",12,21
Cubemen,12,2
Splice,12,1
Chains,12,3
"Madballs in...Babo Invasion",12,2
"IL-2 Sturmovik 1946",12,4
"Heroes of SoulCraft",12,1
"Professional Farmer 2014",12,5
"Dev Guy",12,1
"The Legend of Heroes Trails in the Sky",11,13
"PixelJunk Shooter",11,3
"A Story About My Uncle",11,3
"Draw a Stickman EPIC",11,1
"Game Character Hub",11,0
"LEGO Batman The Videogame",11,12
"Never Alone (Kisima Ingitchuna)",11,11
"Crusaders of the Lost Idols",11,88
"FlatOut Ultimate Carnage",11,12
"Ghost Master",11,5
"Peggle Nights",11,5
Anodyne,11,3
Pressure,11,3
"STORM Frontline Nation",11,149
"Valdis Story Abyssal City",11,20
"Two Worlds II Castle Defense",11,2
"Men of War Vietnam",11,8
"Wings of Prey",11,39
"Codename Gordon",11,0
"Ravensword Shadowlands",11,1
"Terra Incognita ~ Chapter One The Descendant",11,32
Greyfox,11,7
Mafia,11,9
"Zombie Driver",11,2
"Penny Arcade's On the Rain-Slick Precipice of Darkness 4",11,22
"Indiana Jones and the Fate of Atlantis",11,3
"Indiana Jones and the Last Crusade",11,2
Loom,11,2
"Total War Battles SHOGUN",11,4
GRAV,11,14
"Gems of War",11,42
Orborun,11,0
"Missing Translation",11,1
"Esenthel Engine",11,0
"Zeno Clash 2",11,5
"Trine 3 The Artifacts of Power",11,8
"Deadly Premonition The Director's Cut",11,3
"Wolfenstein 3D",11,0
"Space Run",11,5
"Kings Bounty Legions",11,11
"Shower With Your Dad Simulator 2015 Do You Still Shower With Your Dad",11,1
Anoxemia,11,6
"Analogue A Hate Story",11,3
"Avadon The Black Fortress",11,0
Blockstorm,11,1
Escape,11,0
"Black Mesa",11,17
"Castle Story",11,11
"Crystals of Time",11,2
"Devil May Cry 3 Special Edition",11,4
"Lost Planet 2",11,4
"Golden Rush",11,1
"Dungeon Defenders Eternity",11,11
QuestRun,11,7
"Railroad Tycoon 3",11,4
"Railroad Tycoon 2 Platinum",11,19
"Patrician IV Steam Special Edition",11,16
"how do you Do It?",11,0
Warside,11,1
"Nuclear Throne",11,6
"Kung Fu Strike The Warrior's Rise",11,1
"Shadowrun Hong Kong",11,15
"Earth 2150 Trilogy",11,2
"Peggle Extreme",11,3
"Apotheon Arena",11,1
"Keep Talking and Nobody Explodes",11,4
"Aveyond 3-2 Gates of Night",11,0
"SpellForce 2 - Demons of the Past",11,2
"Heroes of Might & Magic V Tribes of the East",11,84
"FINAL FANTASY III",10,16
LISA,10,11
"Skulls of the Shogun",10,9
"Sonic CD",10,2
"Ys Origin",10,8
"X Beyond the Frontier",10,1
"Tales of Monkey Island Chapter 1 - Launch of the Screaming Narwhal",10,4
"Tales of Monkey Island Chapter 2 - The Siege of Spinner Cay ",10,4
"Tales of Monkey Island Chapter 3 - Lair of the Leviathan ",10,6
"Tales of Monkey Island Chapter 4 - The Trial and Execution of Guybrush Threepwood ",10,5
"Tales of Monkey Island Chapter 5 - Rise of the Pirate God",10,4
Gravilon,10,3
"Iron Brigade",10,3
"The Chronicles of Riddick Assault on Dark Athena",10,9
"The Novelist",10,1
"Simply Chess",10,1
"Eternal Fate",10,2
"Wind of Luck Arena",10,7
"Assassin's Creed Freedom Cry",10,3
"Trials Fusion",10,20
"Shoot Many Robots",10,7
La-Mulana,10,3
"Disciples II Gallean's Return",10,10
"Frankenstein Master of Death",10,4
"Lilly and Sasha Curse of the Immortals",10,5
"SUPER DISTRO",10,5
"Hyperdimension Neptunia Re;Birth1",10,3
"Castlevania Lords of Shadow 2",10,18
"Dogs of War Online - Beta",10,2
"Speedball 2 Tournament",10,2
"DUNGEONS - The Dark Lord (Steam Special Edition)",10,5
"Edge of Space",10,3
ProtoGalaxy,10,0
"12 Labours of Hercules",10,5
"World in Conflict Soviet Assault",10,6
"World in Conflict",10,1
"Metal Gear Solid Legacy",10,1
"Rebel Galaxy",10,11
"Gas Guzzlers Extreme",10,13
"Tower of Guns",10,1
"Grotesque Tactics Evil Heroes",10,13
"Heretic Shadow of the Serpent Riders",10,1
"HeXen Beyond Heretic",10,0
"RPG Maker XP",10,15
"Septerra Core",10,2
"Beyond Good & Evil",10,5
"Eador. Masters of the Broken World",10,36
"Bus Driver",10,0
"Contraption Maker",10,7
"Risen 3 - Titan Lords",10,14
"100% Orange Juice",10,9
"Eurofighter Typhoon",10,0
LYNE,10,9
"Darkwind War on Wheels",10,0
"The Old Tree",10,0
"Jigoku Kisetsukan Sense of the Seasons",10,4
"Evolution RTS",10,0
"Call of Duty",10,3
"TDP5 Arena 3D",10,0
Shelter,10,2
"Ravaged Zombie Apocalypse",10,1
"Universe at War Earth Assault",10,10
"Ship Simulator Extremes",10,15
"Epic Arena",10,1
"Imperium Romanum Gold Edition",10,6
Quintet,10,1
"RPG MO",10,3
StarMade,10,18
"Prime World Defenders",10,6
"I Am Alive",10,31
"Larva Mortus",10,0
"Jet Gunner",10,2
"Wolfenstein The New Order German Edition",10,25
"Victim of Xen",10,3
"Cossacks II Napoleonic Wars",10,2
"Eternal Silence",10,1
"Lunar Flight",10,3
"Dead Realm",10,5
"Freedom Force",10,2
"Freedom Force vs. the 3rd Reich",10,32
"A Valley Without Wind",10,1
"A Valley Without Wind 2",10,0
"The Journey Down Chapter One",10,3
"The Void",10,1
AquaNox,10,0
"Tales Runner",10,0
Miasmata,9,2
"No Time To Explain Remastered",9,6
"Ballpoint Universe Infinite",9,1
"Giana Sisters Twisted Dreams - Rise of the Owlverlord",9,1
Screencheat,9,4
Survivalist,9,13
X-Tension,9,1
"Defense Grid 2 A Matter of Endurance",9,2
"Sam & Max 101 Culture Shock",9,3
"Sam & Max 102 Situation Comedy",9,2
"Sam & Max 103 The Mole, the Mob and the Meatball",9,2
"Sam & Max 105 Reality 2.0",9,3
"Sam & Max 106 Bright Side of the Moon",9,5
"Trials 2 Second Edition",9,3
"ibb & obb",9,2
Obulis,9,3
"Anomaly Korea",9,1
"Broken Sword 5 - the Serpent's Curse",9,14
Incredipede,9,2
"Jurassic Park The Game",9,1
"Black Fire",9,1
"Tom Clancy's Ghost Recon Advanced Warfighter 2",9,0
"LEGO Batman 2",9,14
"Infested Planet",9,9
"Kentucky Route Zero",9,2
"The Stomping Land",9,7
"Broken Sword 3 - the Sleeping Dragon",9,0
"Guild Wars Trilogy",9,10
"Fight The Dragon",9,13
"Disciples III Resurrection",9,5
"Call of Cthulhu Dark Corners of the Earth",9,12
FUEL,9,3
"PARTICLE MACE",9,1
"Quake 4",9,2
"Double Dragon Neon",9,3
"Puzzle Quest",9,37
"Fractal Make Blooms Not War",9,1
"Street Fighter IV",9,9
"X Rebirth",9,40
"Galactic Civilizations I Ultimate Edition",9,19
"Hack 'n' Slash",9,3
DeadCore,9,3
Eldritch,9,6
"Street Racing Syndicate",9,1
"King's Bounty Warriors of the North",9,153
"Dead Pixels",9,1
"Legend of Dungeon",9,1
"WTFast Gamers Private Network (GPN)",9,7
Wickland,9,1
Hurtworld,9,36
"Survival Postapocalypse Now",9,9
"The Settlers 7 Paths to a Kingdom - Gold Edition",9,15
"Train Fever",9,19
"Scribblenauts Unmasked",9,5
"Syder Arcade",9,2
"Fairy Bloom Freesia",9,8
"Defender's Quest Valley of the Forgotten",9,6
"A Bird Story",9,2
Requiem,9,1
"Grand Ages Rome",9,11
"Gladiators Online Death Before Dishonor",9,0
"Invisible, Inc.",9,9
Nihilumbra,9,2
"Volgarr the Viking",9,5
"Arx Fatalis",9,12
"Snuggle Truck",9,1
"The Dark Eye Chains of Satinav",9,7
"Dawn of Discovery",9,9
"NEKOPARA Vol. 1",9,5
"Incoming Forces",9,8
"Trucks & Trailers",9,0
"Space Trader Merchant Marine",9,2
"The Lost Crown",9,4
"Thunder Wolves",9,2
Distance,8,8
"Secrets of Rtikon",8,1
Fieldrunners,8,1
KAMI,8,0
